,rank,precision,generator_name,base
0,7,1.0226326679957123e-05,12_1,1.01
1,12,2.0714718028267457e-05,12_1,1.01
2,17,3.457808891133485e-05,12_1,1.01
3,22,5.119340915169558e-05,12_1,1.01
4,27,8.494405277590676e-05,12_1,1.01
5,32,0.00013044700261010439,12_1,1.01
6,37,0.00019036774162604567,12_1,1.01
7,42,0.00028874742756437676,12_1,1.01
8,7,1.0020333731223585e-05,6_2,1.01
9,12,1.9636245492121616e-05,6_2,1.01
10,17,3.5025039859163703e-05,6_2,1.01
11,22,5.3477645300560074e-05,6_2,1.01
12,27,9.062408415240369e-05,6_2,1.01
13,32,0.00013041731926346145,6_2,1.01
14,37,0.0001830082526668253,6_2,1.01
15,42,0.0002810815066004159,6_2,1.01
16,7,3.506617409513198e-05,4_3,1.01
17,12,6.769763826706827e-05,4_3,1.01
18,17,0.00011197302351100959,4_3,1.01
19,22,0.00016217574015198126,4_3,1.01
20,27,0.0002319870903953199,4_3,1.01
21,32,0.0003204202973127756,4_3,1.01
22,37,0.00042678128867275475,4_3,1.01
23,42,0.0006082648938948003,4_3,1.01
24,7,2.1434115309569762e-05,3_4,1.01
25,12,4.261722116772205e-05,3_4,1.01
26,17,7.590368434265897e-05,3_4,1.01
27,22,0.0001049409075984227,3_4,1.01
28,27,0.0001545440460493707,3_4,1.01
29,32,0.0002286747710617414,3_4,1.01
30,37,0.0002912560956882943,3_4,1.01
31,42,0.0004630127710782901,3_4,1.01
32,7,2.8404527049321664e-05,2_6,1.01
33,12,5.659540521125483e-05,2_6,1.01
34,17,8.482945680746487e-05,2_6,1.01
35,22,0.00012897112793907556,2_6,1.01
36,27,0.0001820627455369197,2_6,1.01
37,32,0.00026207106349550535,2_6,1.01
38,37,0.00035510050961037095,2_6,1.01
39,42,0.0005034369350219359,2_6,1.01
40,7,3.326700245521889e-05,1_12,1.01
41,12,6.077273282976521e-05,1_12,1.01
42,17,0.00010001649319412612,1_12,1.01
43,22,0.0001602628853772828,1_12,1.01
44,27,0.0002201720667547402,1_12,1.01
45,32,0.0003178973116153994,1_12,1.01
46,37,0.00040745576528947674,1_12,1.01
47,42,0.0005832579790134444,1_12,1.01
48,7,0.001087917671096008,12_1,1.05
49,12,0.0028555639475749245,12_1,1.05
50,17,0.006504405669499125,12_1,1.05
51,22,0.01269043323231855,12_1,1.05
52,27,0.021106057322632675,12_1,1.05
53,32,0.03464444095334641,12_1,1.05
54,37,0.05548126152511453,12_1,1.05
55,42,0.08221255861671228,12_1,1.05
56,7,0.0010681605155316177,6_2,1.05
57,12,0.002962332959346223,6_2,1.05
58,17,0.006572012634920319,6_2,1.05
59,22,0.012136490268766039,6_2,1.05
60,27,0.02070260505914333,6_2,1.05
61,32,0.03670717840572106,6_2,1.05
62,37,0.05422930671597517,6_2,1.05
63,42,0.07941199922312157,6_2,1.05
64,7,0.0019203897364847005,4_3,1.05
65,12,0.005513650198751355,4_3,1.05
66,17,0.012351176685969752,4_3,1.05
67,22,0.024379886852112235,4_3,1.05
68,27,0.04147614194861686,4_3,1.05
69,32,0.06383874842846833,4_3,1.05
70,37,0.10140468023324732,4_3,1.05
71,42,0.1426897050521759,4_3,1.05
72,7,0.0017889879930789135,3_4,1.05
73,12,0.004786090307074151,3_4,1.05
74,17,0.010483171548601249,3_4,1.05
75,22,0.01817969003009336,3_4,1.05
76,27,0.03130553705189953,3_4,1.05
77,32,0.05112887116716218,3_4,1.05
78,37,0.07202146779349386,3_4,1.05
79,42,0.11514296934832936,3_4,1.05
80,7,0.0018565470250186714,2_6,1.05
81,12,0.005105355221496954,2_6,1.05
82,17,0.010982955315224287,2_6,1.05
83,22,0.020570257450751216,2_6,1.05
84,27,0.035416554378914014,2_6,1.05
85,32,0.055061738684701676,2_6,1.05
86,37,0.08290659161966786,2_6,1.05
87,42,0.12546347506983152,2_6,1.05
88,7,0.0019283136755489777,1_12,1.05
89,12,0.004684608732910581,1_12,1.05
90,17,0.012068890344960517,1_12,1.05
91,22,0.02321218435764699,1_12,1.05
92,27,0.039014920799608374,1_12,1.05
93,32,0.06195507030461877,1_12,1.05
94,37,0.09667646864772697,1_12,1.05
95,42,0.13841224870040963,1_12,1.05
96,7,0.17305260677450218,12_1,1.18
97,12,0.8227388537335232,12_1,1.18
98,17,2.296012553658876,12_1,1.18
99,22,4.523048605297862,12_1,1.18
100,27,7.689427193055512,12_1,1.18
101,32,11.475499089874303,12_1,1.18
102,37,15.73443487697544,12_1,1.18
103,42,21.882879774726003,12_1,1.18
104,7,0.17295363484259416,6_2,1.18
105,12,0.8456760474119098,6_2,1.18
106,17,2.2504627987977797,6_2,1.18
107,22,4.40595713136468,6_2,1.18
108,27,6.8422657811103065,6_2,1.18
109,32,12.152879722266025,6_2,1.18
110,37,15.363367547464225,6_2,1.18
111,42,20.622300369726315,6_2,1.18
112,7,0.17691013017160723,4_3,1.18
113,12,0.9631710498703319,4_3,1.18
114,17,3.440620551192086,4_3,1.18
115,22,6.700105321544855,4_3,1.18
116,27,11.00757855338859,4_3,1.18
117,32,15.151052271830613,4_3,1.18
118,37,24.62267854899158,4_3,1.18
119,42,28.93763492420094,4_3,1.18
120,7,0.21514138931997237,3_4,1.18
121,12,1.076199983346809,3_4,1.18
122,17,2.713827708645753,3_4,1.18
123,22,6.008299092878984,3_4,1.18
124,27,9.066657440351062,3_4,1.18
125,32,13.899724438324396,3_4,1.18
126,37,19.6337972685903,3_4,1.18
127,42,25.889280288210326,3_4,1.18
128,7,0.2184370837936993,2_6,1.18
129,12,1.0043042263928783,2_6,1.18
130,17,3.2500749399881625,2_6,1.18
131,22,6.255454769762204,2_6,1.18
132,27,9.83530577323439,2_6,1.18
133,32,15.122453356248418,2_6,1.18
134,37,19.281333774858357,2_6,1.18
135,42,30.018820724927895,2_6,1.18
136,7,0.20615531167748924,1_12,1.18
137,12,1.0177837315138627,1_12,1.18
138,17,3.0288141183145196,1_12,1.18
139,22,5.6645337162181315,1_12,1.18
140,27,10.53688504010757,1_12,1.18
141,32,16.994888892946715,1_12,1.18
142,37,24.874367426514695,1_12,1.18
143,42,27.095078171045323,1_12,1.18
144,7,19.566308053843834,12_1,1.5
145,12,82.59895039235117,12_1,1.5
146,17,230.53953766021468,12_1,1.5
147,22,490.9996544632027,12_1,1.5
148,27,603.3681621387473,12_1,1.5
149,32,1023.7131825094392,12_1,1.5
150,37,1260.1255516233234,12_1,1.5
151,42,1496.9967752808336,12_1,1.5
152,7,20.428474242607873,6_2,1.5
153,12,101.79954456895415,6_2,1.5
154,17,241.86279394846528,6_2,1.5
155,22,691.6985599219354,6_2,1.5
156,27,662.9430822560255,6_2,1.5
157,32,1165.3863144810732,6_2,1.5
158,37,1189.327759501936,6_2,1.5
159,42,1583.4051986425288,6_2,1.5
160,7,22.740845477663267,4_3,1.5
161,12,94.9034192679816,4_3,1.5
162,17,357.2590062217724,4_3,1.5
163,22,531.5972081982346,4_3,1.5
164,27,720.2103912606998,4_3,1.5
165,32,1130.9155383453547,4_3,1.5
166,37,2169.0500737533844,4_3,1.5
167,42,1995.6094429960895,4_3,1.5
168,7,22.318794572910996,3_4,1.5
169,12,115.15348748205224,3_4,1.5
170,17,231.64595999055643,3_4,1.5
171,22,467.3367615336883,3_4,1.5
172,27,623.9394784100978,3_4,1.5
173,32,1129.757218198004,3_4,1.5
174,37,1419.554415966054,3_4,1.5
175,42,2121.1280052437523,3_4,1.5
176,7,23.808934387886662,2_6,1.5
177,12,99.44964164150204,2_6,1.5
178,17,326.4597577690949,2_6,1.5
179,22,548.904657865601,2_6,1.5
180,27,763.7336790609014,2_6,1.5
181,32,1246.9423797952095,2_6,1.5
182,37,1356.1884728856269,2_6,1.5
183,42,1879.9854217058821,2_6,1.5
184,7,20.78619431439109,1_12,1.5
185,12,120.22655127129683,1_12,1.5
186,17,273.9660144462523,1_12,1.5
187,22,563.235269052535,1_12,1.5
188,27,949.7748857444429,1_12,1.5
189,32,1188.2251230029583,1_12,1.5
190,37,1515.6075631054216,1_12,1.5
191,42,1694.0315638571926,1_12,1.5
192,7,404.19848512662304,12_1,2.0
193,12,1520.4036465451586,12_1,2.0
194,17,5424.322851077391,12_1,2.0
195,22,10780.939358807582,12_1,2.0
196,27,15814.41917952016,12_1,2.0
197,32,16380.295220109365,12_1,2.0
198,37,25420.83300972487,12_1,2.0
199,42,21786.226985509136,12_1,2.0
200,7,620.4992865163658,6_2,2.0
201,12,2375.4391335681735,6_2,2.0
202,17,5849.305203488095,6_2,2.0
203,22,19577.731014432826,6_2,2.0
204,27,15226.244229088783,6_2,2.0
205,32,23495.967798526097,6_2,2.0
206,37,23599.85585364668,6_2,2.0
207,42,25179.38818470375,6_2,2.0
208,7,624.791580666604,4_3,2.0
209,12,1997.3641173474412,4_3,2.0
210,17,14835.92400543582,4_3,2.0
211,22,9728.49368624574,4_3,2.0
212,27,17456.40170308677,4_3,2.0
213,32,26904.782997586124,4_3,2.0
214,37,30442.41468432269,4_3,2.0
215,42,29286.66139656613,4_3,2.0
216,7,545.5060677253302,3_4,2.0
217,12,3029.945979571805,3_4,2.0
218,17,6107.932716547158,3_4,2.0
219,22,7259.56386760097,3_4,2.0
220,27,11911.826975993634,3_4,2.0
221,32,13214.503981493417,3_4,2.0
222,37,31549.51243254128,3_4,2.0
223,42,28475.892739844476,3_4,2.0
224,7,490.50978861623355,2_6,2.0
225,12,1517.7392892177827,2_6,2.0
226,17,6663.675990116566,2_6,2.0
227,22,9139.730854775336,2_6,2.0
228,27,10487.675827551253,2_6,2.0
229,32,26073.273413438852,2_6,2.0
230,37,38087.31123189399,2_6,2.0
231,42,24437.85423218636,2_6,2.0
232,7,517.0968982819703,1_12,2.0
233,12,1852.6801654814853,1_12,2.0
234,17,4392.056188588029,1_12,2.0
235,22,18097.795192007732,1_12,2.0
236,27,15720.546687366417,1_12,2.0
237,32,19367.184230425428,1_12,2.0
238,37,21577.228965027767,1_12,2.0
239,42,32304.99637465061,1_12,2.0
