,rank,precision,generator_name,base,row_size
0,20,2.620358886509074,big_gauss,1.01,70
1,27,3.000894727656824,big_gauss,1.01,70
2,33,3.4071280692321584,big_gauss,1.01,70
3,40,5.337935832442027,big_gauss,1.01,70
4,47,7.714918307114223,big_gauss,1.01,70
5,53,10.729807865843883,big_gauss,1.01,70
6,60,13.230660200170009,big_gauss,1.01,70
7,20,2.6192685966047575,gauss_gauss,1.01,70
8,27,2.999243505818451,gauss_gauss,1.01,70
9,33,3.401199388177571,gauss_gauss,1.01,70
10,40,5.320659635144185,gauss_gauss,1.01,70
11,47,7.704612523003458,gauss_gauss,1.01,70
12,53,10.686695839832675,gauss_gauss,1.01,70
13,60,13.231409504122995,gauss_gauss,1.01,70
14,20,2.1694531547408613,big_gauss,1.01,140
15,27,2.3834270639426705,big_gauss,1.01,140
16,33,2.5754455287037956,big_gauss,1.01,140
17,40,2.86369875285057,big_gauss,1.01,140
18,47,3.1753658698749807,big_gauss,1.01,140
19,53,3.538540511099741,big_gauss,1.01,140
20,60,3.9053102916941915,big_gauss,1.01,140
21,20,2.1935618421673033,gauss_gauss,1.01,140
22,27,2.431004115635176,gauss_gauss,1.01,140
23,33,2.65031655310525,gauss_gauss,1.01,140
24,40,2.9741954479881594,gauss_gauss,1.01,140
25,47,3.3428871160498907,gauss_gauss,1.01,140
26,53,3.7702782857709094,gauss_gauss,1.01,140
27,60,4.226198225381655,gauss_gauss,1.01,140
28,20,2.238841337733801,big_gauss,1.01,210
29,27,2.338685375563716,big_gauss,1.01,210
30,33,2.4048733139002443,big_gauss,1.01,210
31,40,2.5126905690457013,big_gauss,1.01,210
32,47,2.5625147614073684,big_gauss,1.01,210
33,53,2.614385622220054,big_gauss,1.01,210
34,60,2.649633221598887,big_gauss,1.01,210
35,20,2.296367995361549,gauss_gauss,1.01,210
36,27,2.4178726310394114,gauss_gauss,1.01,210
37,33,2.500675852835811,gauss_gauss,1.01,210
38,40,2.6303922767335632,gauss_gauss,1.01,210
39,47,2.700170379434383,gauss_gauss,1.01,210
40,53,2.7598700012441753,gauss_gauss,1.01,210
41,60,2.8085048365504743,gauss_gauss,1.01,210
42,20,1.8656368128804768,big_gauss,1.01,280
43,27,2.0266211455325034,big_gauss,1.01,280
44,33,2.142084326249271,big_gauss,1.01,280
45,40,2.3035708725609836,big_gauss,1.01,280
46,47,2.4641725477048513,big_gauss,1.01,280
47,53,2.6199627456468537,big_gauss,1.01,280
48,60,2.8375078748835145,big_gauss,1.01,280
49,20,1.9069634059001674,gauss_gauss,1.01,280
50,27,2.08954096324169,gauss_gauss,1.01,280
51,33,2.2274748656692713,gauss_gauss,1.01,280
52,40,2.4116994306476607,gauss_gauss,1.01,280
53,47,2.6036910273225926,gauss_gauss,1.01,280
54,53,2.785004710550663,gauss_gauss,1.01,280
55,60,3.0373590877807346,gauss_gauss,1.01,280
56,20,2.040940490689902,big_gauss,1.01,350
57,27,2.1921841663094077,big_gauss,1.01,350
58,33,2.3629609328990826,big_gauss,1.01,350
59,40,2.519299374719084,big_gauss,1.01,350
60,47,2.6404820789361483,big_gauss,1.01,350
61,53,2.681594449253577,big_gauss,1.01,350
62,60,2.7681986258096893,big_gauss,1.01,350
63,20,2.0841970795451,gauss_gauss,1.01,350
64,27,2.263307720115942,gauss_gauss,1.01,350
65,33,2.461978901788839,gauss_gauss,1.01,350
66,40,2.6455981711638463,gauss_gauss,1.01,350
67,47,2.803653821261295,gauss_gauss,1.01,350
68,53,2.8647499453719645,gauss_gauss,1.01,350
69,60,2.976714281313472,gauss_gauss,1.01,350
70,20,2.8809129766816017,big_gauss,1.05,70
71,27,3.518638891501945,big_gauss,1.05,70
72,33,5.385745932305311,big_gauss,1.05,70
73,40,6.899938630428404,big_gauss,1.05,70
74,47,8.239398460324454,big_gauss,1.05,70
75,53,12.250559418324196,big_gauss,1.05,70
76,60,17.032614819102875,big_gauss,1.05,70
77,20,2.884021325904068,gauss_gauss,1.05,70
78,27,3.515200947804381,gauss_gauss,1.05,70
79,33,5.374046004378694,gauss_gauss,1.05,70
80,40,6.876694005091087,gauss_gauss,1.05,70
81,47,8.231840829789071,gauss_gauss,1.05,70
82,53,12.166074398059079,gauss_gauss,1.05,70
83,60,17.110947271490595,gauss_gauss,1.05,70
84,20,3.8116311626343347,big_gauss,1.05,140
85,27,4.020721177983531,big_gauss,1.05,140
86,33,4.531300739664272,big_gauss,1.05,140
87,40,6.210448989100657,big_gauss,1.05,140
88,47,6.591590549103651,big_gauss,1.05,140
89,53,7.16430979056002,big_gauss,1.05,140
90,60,6.773813538475074,big_gauss,1.05,140
91,20,3.8347932273970384,gauss_gauss,1.05,140
92,27,4.050964028488605,gauss_gauss,1.05,140
93,33,4.598884636275411,gauss_gauss,1.05,140
94,40,6.336067112349148,gauss_gauss,1.05,140
95,47,6.895581245984223,gauss_gauss,1.05,140
96,53,7.642390587070519,gauss_gauss,1.05,140
97,60,7.524860791817498,gauss_gauss,1.05,140
98,20,3.821375179587876,big_gauss,1.05,210
99,27,4.232037706178247,big_gauss,1.05,210
100,33,4.971363740903758,big_gauss,1.05,210
101,40,5.934449407032752,big_gauss,1.05,210
102,47,5.321257597464005,big_gauss,1.05,210
103,53,5.190101016995184,big_gauss,1.05,210
104,60,4.923086808043955,big_gauss,1.05,210
105,20,3.8670393222414234,gauss_gauss,1.05,210
106,27,4.2847832251073905,gauss_gauss,1.05,210
107,33,5.043144057244211,gauss_gauss,1.05,210
108,40,6.1316297711743415,gauss_gauss,1.05,210
109,47,5.609778724080797,gauss_gauss,1.05,210
110,53,5.5340621839204065,gauss_gauss,1.05,210
111,60,5.377916723521196,gauss_gauss,1.05,210
112,20,3.5743389737495717,big_gauss,1.05,280
113,27,4.063062851188417,big_gauss,1.05,280
114,33,4.105932595872817,big_gauss,1.05,280
115,40,5.080975481102825,big_gauss,1.05,280
116,47,5.368865070080246,big_gauss,1.05,280
117,53,5.445896731247185,big_gauss,1.05,280
118,60,5.406802615144503,big_gauss,1.05,280
119,20,3.580436324780872,gauss_gauss,1.05,280
120,27,4.104286325505486,gauss_gauss,1.05,280
121,33,4.186438485094093,gauss_gauss,1.05,280
122,40,5.238386447017632,gauss_gauss,1.05,280
123,47,5.673346004004826,gauss_gauss,1.05,280
124,53,5.859657985986641,gauss_gauss,1.05,280
125,60,5.960529084714511,gauss_gauss,1.05,280
126,20,3.317573876519381,big_gauss,1.05,350
127,27,4.74775001397995,big_gauss,1.05,350
128,33,5.54213256382302,big_gauss,1.05,350
129,40,6.566053133030856,big_gauss,1.05,350
130,47,6.501411429438898,big_gauss,1.05,350
131,53,6.216022349795531,big_gauss,1.05,350
132,60,5.80310417186506,big_gauss,1.05,350
133,20,3.304232087926363,gauss_gauss,1.05,350
134,27,4.7689630204820155,gauss_gauss,1.05,350
135,33,5.5964410708693135,gauss_gauss,1.05,350
136,40,6.710363660491917,gauss_gauss,1.05,350
137,47,6.826099831154307,gauss_gauss,1.05,350
138,53,6.686793925040849,gauss_gauss,1.05,350
139,60,6.405958678838389,gauss_gauss,1.05,350
140,20,7.481803817003434,big_gauss,1.18,70
141,27,9.857969150579054,big_gauss,1.18,70
142,33,17.741585297385424,big_gauss,1.18,70
143,40,15.855084386461277,big_gauss,1.18,70
144,47,19.981622239769063,big_gauss,1.18,70
145,53,16.795246978342664,big_gauss,1.18,70
146,60,42.54512650970883,big_gauss,1.18,70
147,20,7.53633145107851,gauss_gauss,1.18,70
148,27,9.827793074375371,gauss_gauss,1.18,70
149,33,17.918083120453826,gauss_gauss,1.18,70
150,40,15.781304834054469,gauss_gauss,1.18,70
151,47,19.82069248246108,gauss_gauss,1.18,70
152,53,16.63439697754072,gauss_gauss,1.18,70
153,60,42.719260090925324,gauss_gauss,1.18,70
154,20,7.011498064544897,big_gauss,1.18,140
155,27,16.021686666562292,big_gauss,1.18,140
156,33,15.506197163798278,big_gauss,1.18,140
157,40,11.52537684384832,big_gauss,1.18,140
158,47,11.716461299758274,big_gauss,1.18,140
159,53,18.809099882620284,big_gauss,1.18,140
160,60,19.986798576458778,big_gauss,1.18,140
161,20,7.098045587343411,gauss_gauss,1.18,140
162,27,16.036313786247934,gauss_gauss,1.18,140
163,33,15.786457031614905,gauss_gauss,1.18,140
164,40,11.511839004522317,gauss_gauss,1.18,140
165,47,11.712034623217683,gauss_gauss,1.18,140
166,53,18.737905820304235,gauss_gauss,1.18,140
167,60,20.21314218547105,gauss_gauss,1.18,140
168,20,14.162673191254765,big_gauss,1.18,210
169,27,8.623048076355301,big_gauss,1.18,210
170,33,12.941180200516927,big_gauss,1.18,210
171,40,10.155673920316284,big_gauss,1.18,210
172,47,26.27959752310139,big_gauss,1.18,210
173,53,22.812262548960103,big_gauss,1.18,210
